Date,Open,High,Low,Close,Adj Close,Volume
2007-09-11,0.523,0.553,0.523,0.523,0.523,0.0
2007-09-12,0.523,0.553,0.523,0.523,0.523,0.0
2007-09-13,0.52,0.52,0.52,0.52,0.52,0.0
2007-09-14,0.565,0.565,0.565,0.565,0.565,0.0
2007-09-17,0.58,0.583,0.58,0.583,0.583,2000.0
2007-09-18,0.579,0.579,0.579,0.579,0.579,0.0
2007-09-19,0.623,0.623,0.623,0.623,0.623,0.0
2007-09-20,0.617,0.617,0.617,0.617,0.617,0.0
2007-09-21,0.638,0.638,0.638,0.638,0.638,0.0
2007-09-24,0.642,0.642,0.642,0.642,0.642,0.0
2007-09-25,0.625,0.625,0.625,0.625,0.625,0.0
2007-09-26,0.624,0.624,0.624,0.624,0.624,0.0
2007-09-27,0.571,0.571,0.571,0.571,0.571,0.0
2007-09-28,0.575,0.575,0.575,0.575,0.575,0.0
2007-10-01,0.597,0.6,0.597,0.6,0.6,5000.0
2007-10-02,0.549,0.549,0.549,0.549,0.549,0.0
2007-10-03,0.556,0.556,0.556,0.556,0.556,0.0
2007-10-04,0.535,0.535,0.535,0.535,0.535,0.0
2007-10-05,0.558,0.558,0.558,0.558,0.558,0.0
2007-10-08,0.537,0.537,0.537,0.537,0.537,0.0
2007-10-09,0.538,0.538,0.538,0.538,0.538,0.0
2007-10-10,0.552,0.552,0.552,0.552,0.552,0.0
2007-10-11,0.537,0.537,0.537,0.537,0.537,0.0
2007-10-12,0.558,0.558,0.558,0.558,0.558,0.0
2007-10-15,0.562,0.562,0.562,0.562,0.562,0.0
2007-10-16,0.558,0.558,0.558,0.558,0.558,0.0
2007-10-17,0.57,0.603,0.57,0.603,0.603,1700.0
2007-10-18,0.582,0.582,0.582,0.582,0.582,0.0
2007-10-19,0.625,0.658,0.625,0.658,0.658,4000.0
2007-10-22,0.636,0.636,0.62,0.62,0.62,35000.0
2007-10-23,0.6,0.6,0.6,0.6,0.6,0.0
2007-10-24,0.589,0.589,0.589,0.589,0.589,0.0
2007-10-25,0.568,0.568,0.568,0.568,0.568,0.0
2007-10-26,0.598,0.598,0.598,0.598,0.598,0.0
2007-10-29,0.677,0.677,0.677,0.677,0.677,1500.0
2007-10-30,0.691,0.691,0.691,0.691,0.691,10000.0
2007-10-31,0.68,0.68,0.68,0.68,0.68,0.0
2007-11-01,0.755,0.755,0.755,0.755,0.755,0.0
2007-11-02,0.793,0.821,0.793,0.821,0.821,1000.0
2007-11-05,0.815,0.815,0.815,0.815,0.815,3000.0
2007-11-06,0.861,0.862,0.861,0.862,0.862,5000.0
2007-11-07,0.872,0.872,0.872,0.872,0.872,0.0
2007-11-08,0.791,0.791,0.791,0.791,0.791,0.0
2007-11-09,0.739,0.739,0.739,0.739,0.739,0.0
2007-11-12,0.681,0.681,0.681,0.681,0.681,0.0
2007-11-13,0.695,0.695,0.695,0.695,0.695,0.0
2007-11-14,0.704,0.704,0.704,0.704,0.704,0.0
2007-11-15,0.712,0.712,0.712,0.712,0.712,0.0
2007-11-16,0.741,0.741,0.741,0.741,0.741,0.0
2007-11-19,0.745,0.745,0.745,0.745,0.745,0.0
2007-11-20,0.675,0.675,0.675,0.675,0.675,0.0
2007-11-21,0.598,0.598,0.598,0.598,0.598,0.0
2007-11-23,0.596,0.596,0.571,0.571,0.571,0.0
2007-11-26,0.556,0.556,0.556,0.556,0.556,0.0
2007-11-27,0.561,0.561,0.561,0.561,0.561,0.0
2007-11-28,0.527,0.527,0.527,0.527,0.527,0.0
2007-11-29,0.522,0.522,0.522,0.522,0.522,0.0
2007-11-30,0.517,0.517,0.517,0.517,0.517,0.0
2007-12-03,0.506,0.506,0.506,0.506,0.506,0.0
2007-12-04,0.499,0.499,0.499,0.499,0.499,0.0
2007-12-05,0.481,0.481,0.481,0.481,0.481,0.0
2007-12-06,0.444,0.444,0.444,0.444,0.444,0.0
2007-12-07,0.442,0.442,0.442,0.442,0.442,0.0
2007-12-10,0.396,0.396,0.396,0.396,0.396,0.0
2007-12-11,0.43,0.43,0.43,0.43,0.43,0.0
2007-12-12,0.445,0.445,0.445,0.445,0.445,0.0
2007-12-13,0.457,0.457,0.457,0.457,0.457,0.0
2007-12-14,0.42,0.42,0.42,0.42,0.42,0.0
2007-12-17,0.431,0.431,0.431,0.431,0.431,0.0
2007-12-18,0.379,0.379,0.379,0.379,0.379,0.0
2007-12-19,0.348,0.348,0.348,0.348,0.348,0.0
2007-12-20,0.42,0.42,0.42,0.42,0.42,0.0
2007-12-21,0.423,0.423,0.423,0.423,0.423,0.0
2007-12-24,,,,,,
2007-12-26,,,,,,
2007-12-27,0.446,0.446,0.446,0.446,0.446,0.0
2007-12-28,0.443,0.443,0.443,0.443,0.443,0.0
2007-12-31,,,,,,
2008-01-02,0.395,0.395,0.395,0.395,0.395,0.0
2008-01-03,0.394,0.394,0.394,0.394,0.394,0.0
2008-01-04,0.403,0.403,0.403,0.403,0.403,0.0
2008-01-07,0.398,0.398,0.398,0.398,0.398,0.0
2008-01-08,0.425,0.425,0.425,0.425,0.425,0.0
2008-01-09,0.398,0.398,0.398,0.398,0.398,0.0
2008-01-10,0.395,0.395,0.395,0.395,0.395,0.0
2008-01-11,0.356,0.356,0.356,0.356,0.356,0.0
2008-01-14,0.354,0.354,0.354,0.354,0.354,0.0
2008-01-15,0.332,0.332,0.332,0.332,0.332,0.0
2008-01-16,0.324,0.324,0.324,0.324,0.324,0.0
2008-01-17,0.367,0.367,0.367,0.367,0.367,0.0
2008-01-18,0.338,0.338,0.338,0.338,0.338,0.0
2008-01-22,0.353,0.353,0.309,0.31,0.31,3250.0
2008-01-23,0.316,0.316,0.316,0.316,0.316,0.0
2008-01-24,0.27,0.27,0.27,0.27,0.27,6500.0
2008-01-25,0.299,0.299,0.299,0.299,0.299,0.0
2008-01-28,0.337,0.337,0.337,0.337,0.337,0.0
2008-01-29,0.32,0.32,0.32,0.32,0.32,0.0
2008-01-30,0.341,0.341,0.341,0.341,0.341,0.0
2008-01-31,0.3,0.3,0.3,0.3,0.3,0.0
2008-02-01,0.305,0.305,0.305,0.305,0.305,0.0
2008-02-04,0.336,0.336,0.336,0.336,0.336,1500.0
2008-02-05,0.296,0.296,0.296,0.296,0.296,3000.0
2008-02-06,0.288,0.288,0.288,0.288,0.288,0.0
2008-02-07,0.268,0.268,0.268,0.268,0.268,0.0
2008-02-08,0.298,0.298,0.298,0.298,0.298,0.0
2008-02-11,0.319,0.319,0.319,0.319,0.319,0.0
2008-02-12,0.313,0.313,0.313,0.313,0.313,0.0
2008-02-13,0.309,0.309,0.309,0.309,0.309,0.0
2008-02-14,0.301,0.301,0.301,0.301,0.301,0.0
2008-02-15,0.333,0.333,0.333,0.333,0.333,0.0
